@relation input_data
@attribute Z numeric
@attribute A numeric
@attribute EP0 numeric
@attribute FL numeric
@attribute FLX_PC_LATE numeric
@attribute MAX_SNR numeric
@attribute T90 numeric
@attribute bat_image_signif numeric
@attribute bat_img_peak numeric
@attribute bat_is_rate_trig_binary numeric
@attribute bat_trigger_dur numeric
@attribute uvot_detection_binary numeric
@attribute PROB_Z_GT_4 numeric
@attribute triggerid_str {'106709','111063','111529','111622','114753','117504','130088','148225','148646','148833','150314','151207','152113','153514','154112','156467','163136','163170','174738','176453','177408','177533','178750','179968','180455','180977','191157','192059','205851','207399','208169','209352','209755','211117','211957','213486','213630','213823','214805','217704','217805','219101','221755','228006','228316','228581','229185','231231','231362','232339','232683','238108','238174','239899','240766','252593','255445','259714','263361','271019','275087','276205','278693','278854','279592','280706','282003','284856','285654','286809','287364','295670','296805','297114','299787','301981','302888','305288','306757','306778','308041','309096','309111','310613','312047','313087','313116','313299','313417','316204','316534','317508','319016','319036','319584','323898','324561','324895','326115','330856','331093','332851','332931','334877','335105','336489','337914','338895','342121','349510','350184','350311','352190','352648','353540','355083','357512','359530','359711','359951','370791','370846','373172','373458','374210','375246','377179','378559','412982','414592','416103','416135','419797','420398','421814','425151'}
@attribute useless1 numeric
@attribute useless2 numeric
@attribute useless3 numeric
@attribute useless4 numeric
@attribute useless5 numeric
@attribute useless6 numeric
@attribute useless7 numeric
@attribute useless8 numeric
@attribute useless9 numeric
@attribute useless10 numeric
@attribute useless11 numeric
@attribute useless12 numeric
@attribute useless13 numeric
@attribute useless14 numeric
@attribute useless15 numeric
@attribute useless16 numeric
@attribute useless17 numeric
@attribute useless18 numeric
@attribute useless19 numeric
@attribute useless20 numeric
@attribute useless21 numeric
@attribute useless22 numeric
@attribute useless23 numeric
@attribute useless24 numeric
@attribute useless25 numeric
@attribute useless26 numeric
@attribute useless27 numeric
@attribute useless28 numeric
@attribute useless29 numeric
@attribute useless30 numeric
@attribute useless31 numeric
@attribute useless32 numeric
@data
0.767,-1.7404,113.124,1.8591e-06,4.772e-05,52.7,16.2,10.83,262,1,0.512,1,0.10734,'310613',0.38528240355663,0.712277211248875,0.982692382996902,0.23587752180174,0.949149889638647,0.91508407657966,0.520171502605081,0.256170069333166,0.0733121554367244,0.154443490784615,0.427226223284379,0.825697461143136,0.719185550231487,0.891302210045978,0.628224712563679,0.0856254242826253,0.845344242174178,0.0103983478620648,0.907471584388986,0.0811652683187276,0.413770021405071,0.159592838026583,0.872993323719129,0.965811565285549,0.428790330188349,0.231943434802815,0.700946491677314,0.889200627338141,0.185276441508904,0.381492495303974,0.709213603055105,0.914365327218547
0.5295,-1.3529,35.3059,5.9087e-07,3.431e-05,19.6,5.55,9.43,221,1,1.024,1,0.0255989,'330856',0.484204011270776,0.6506226148922,0.218714002287015,0.793670132756233,0.292146177263930,0.504610879113898,0.579335211310536,0.00757424090988934,0.780044796178117,0.455816294997931,0.409722434123978,0.795444137882441,0.578534173546359,0.864381258375943,0.940108264097944,0.289084088755772,0.880248288391158,0.991423575673252,0.561122088693082,0.685527008958161,0.953595144907013,0.456982594216242,0.0348866467829794,0.74870774592273,0.684760943055153,0.645916417008266,0.174917245283723,0.391451982781291,0.864763099234551,0.0504083167761564,0.510836124420166,0.43494788534008
2.4996,-1.3456,124.439,5.22e-06,?,13.5,112.21,6.76,419,1,12.16,1,0.162741,'280706',0.0696309371851385,0.017019733088091,0.205317124025896,0.788483629701659,0.725566217442974,0.900247174780816,0.00344871263951063,0.860118543962017,0.653681646334007,0.509108499856666,0.986874638823792,0.169910743599758,0.541641039308161,0.62119300593622,0.492675557499751,0.071776082739234,0.665017764549702,0.45770651451312,0.260552658233792,0.145075612002984,0.985181733733043,0.399859227705747,0.432273035869002,0.620325846364722,0.440579670714214,0.359732383629307,0.593958168989047,0.571252799825743,0.275204905774444,0.959184801438823,0.259480647509918,0.547695711022243
1.9685,-1.3028,?,5.6132e-06,4.207e-05,50.7,199.32,10,382,1,2.048,1,0.206132,'331093',0.0133824252989143,0.933295585215092,0.114463147241622,0.97794987517409,0.880664276657626,0.139248899184167,0.648437907220796,0.420871195616201,0.0129275370854884,0.705642158165574,0.700195020996034,0.223014342132956,0.941595645388588,0.419449636247009,0.396850111894310,0.714231986319646,0.862662140512839,0.0323573164641857,0.511796033009887,0.63061716593802,0.394181035924703,0.0860240121837705,0.885626505827531,0.847845430718735,0.461511942092329,0.965927863726392,0.578806716948748,0.442715329816565,0.104657023446634,0.830685897031799,0.859347879420966,0.0817187882494181
0.714,-1.0884,92.025,4.4323e-07,?,12.5,4.3,10.59,323,1,1.024,0,0.0488872,'174738',0.274975861655548,0.306959544075653,0.173909072298557,0.124778449069709,0.585422811331227,0.348669488215819,0.269018244929612,0.436013774713501,0.534283996094018,0.329738834640011,0.759227241855115,0.131563687697053,0.652792758774012,0.86342161288485,0.323660132009536,0.906504285288975,0.852264699526131,0.454505508998409,0.561867721844465,0.961187108187005,0.744985823286697,0.938093886245042,0.623460021102801,0.673772618174553,0.994843205669895,0.885962899075821,0.167863989714533,0.66796375438571,0.50025779963471,0.65347986202687,0.310776214813814,0.413800444453955
3.35,-1.3129,174.457,9.7053e-06,4.212e-05,57.9,453.15,7.59,196,1,1.024,1,0.154869,'319584',0.0327826694119722,0.559677032520995,0.908442434854805,0.729281314415857,0.718028515577316,0.821501915575936,0.483077600132674,0.562151197576895,0.316012086579576,0.629642954561859,0.650393311865628,0.630816468968987,0.38683683029376,0.686413062503561,0.0202157364692539,0.553379736142233,0.157391324406490,0.0865164047572762,0.840162551729009,0.450771227478981,0.910549012711272,0.606544363312423,0.552521675825119,0.9312215722166,0.538223317591473,0.54915595985949,0.128669590689242,0.114336378406733,0.469149315729737,0.451269724871963,0.915449645835906,0.0814150024671108
3.969,-1.3747,110.99,2.6093e-06,0.0002541,13.2,60.48,10.96,1019,1,12.16,1,0.174661,'148225',0.0840777307748795,0.476418735925108,0.905007299501449,0.81606174679473,0.805909166345373,0.154306618729606,0.728287648875266,0.112793490057811,0.566898739896715,0.775827290024608,0.561033872189,0.0600475003011525,0.0389683351386338,0.631939788581803,0.935090901330113,0.262643225025386,0.56278892676346,0.203237551730126,0.739757318980992,0.347005991498008,0.178141981828958,0.965526250656694,0.348056473303586,0.545298591023311,0.883700505364686,0.665316923055798,0.288047409616411,0.172209492884576,0.503642980009317,0.790514844236895,0.0291837560944259,0.0621165367774665
0.624,?,25.9683,4.777e-07,1.147e-05,13.3,9.63,7.06,177,1,1.024,1,0.103983,'419797',0.869890888454393,0.489651038311422,0.00467720231972635,0.338661126326770,0.726039898814633,0.903303650440648,0.543490324867889,0.608090810710564,0.93286366155371,0.340964663075283,0.208202456822619,0.186778830597177,0.753359199035913,0.730872998246923,0.289572460111231,0.725582174258307,0.929737156257033,0.125892338342965,0.168122937437147,0.360995733877644,0.22411647439003,0.0744828721508384,0.309784776298329,0.389950934099033,0.871359748300165,0.0303336505312473,0.53640267974697,0.541881320532411,0.591376466909423,0.84435528377071,0.384710757993162,0.538401682861149
1.37,-1.7718,?,4.936e-07,2.256e-05,14.3,18.36,11.42,236,1,0.512,1,0.0804666,'370846',0.394996696617454,0.790768116246909,0.259635094553232,0.999114191625267,0.628515559248626,0.930162275210023,0.466595412697643,0.896169792162254,0.23586971918121,0.585904602194205,0.0311323241330683,0.732728089904413,0.239448366919532,0.441672554938123,0.664811352267861,0.490530386334285,0.00910012098029256,0.910320959519595,0.213786701671779,0.557758232578635,0.130715571111068,0.729636847507209,0.638330777874216,0.0926739361602813,0.00314782792702317,0.192484856117517,0.777039380278438,0.0377430475782603,0.994414336746559,0.453123465878889,0.310161546338350,0.931644008494914
4.813,?,268.926,5.3188e-07,1.327e-05,15.2,31.72,7.73,1502,0,64,0,0.194801,'414592',0.412261120509356,0.493469300912693,0.665918513201177,0.475712682818994,0.564107641810551,0.983454305445775,0.928164777345955,0.968473255168647,0.367203985573724,0.614954020362347,0.355361886322498,0.307348981732503,0.291723531205207,0.769969000248238,0.358978711767122,0.641204169252887,0.845382526749745,0.524940487230197,0.620440474711359,0.490366213489324,0.202462373767048,0.80277516786009,0.63146944809705,0.324948051245883,0.691756857326254,0.0257855912204832,0.718007970834151,0.285779930651188,0.211660244036466,0.115761418128386,0.183773750439286,0.162108289310709
1.314,-1.3748,230.426,2.792e-05,8.25e-05,273.8,83,8.08,110,1,0.256,1,0.0321642,'239899',0.404699689941481,0.778269359143451,0.824017432285473,0.47560550365597,0.848154892446473,0.747955154860392,0.907572460127994,0.633253423497081,0.533723737578839,0.757132801460102,0.518410274060443,0.636885759187862,0.294942142674699,0.131610314594582,0.235956753138453,0.399399172747508,0.315420888131484,0.65279748220928,0.00596053502522409,0.0340840329881757,0.464256343897432,0.566501938039437,0.483011975651607,0.303787685697898,0.405082633253187,0.647667680401355,0.496005778666586,0.510151007212698,0.976141176186502,0.235939168604091,0.447831282624975,0.664835535921156
1.159,-1.1593,223.072,1.3868e-05,6.159e-05,85.7,26.78,8.76,219,1,1.024,1,0.064142,'240766',0.466911832801998,0.0302686879877001,0.59760164655745,0.663123640231788,0.166735282633454,0.318674081237987,0.226071048062295,0.992564725223929,0.883002280723304,0.729681379627436,0.37136126216501,0.167697224533185,0.85059041203931,0.850503297755495,0.138644793769345,0.98718262417242,0.234338908456266,0.230503656202927,0.677246271632612,0.318468946963549,0.88130865432322,0.462933813687414,0.261636113282293,0.376964235678315,0.332301560090855,0.208360392134637,0.572360723279417,0.420111035462469,0.119764764327556,0.00375050120055676,0.487237888388336,0.526094510685652
3,-1.6129,130.059,8.9949e-06,3.213e-05,84.9,267.54,11.48,332,1,1.024,1,0.121287,'357512',0.435958835761994,0.302860405994579,0.153270188486204,0.547612705267966,0.444829464191571,0.733235121238977,0.477839370723814,0.49936964455992,0.0292956824414432,0.77773486985825,0.0702462003100663,0.636604115366936,0.752777585526928,0.371500622248277,0.060336678288877,0.672611926915124,0.973875587107614,0.726382248336449,0.0156703635584563,0.0822888028342277,0.337017483543605,0.340170044451952,0.982311176368967,0.293476163642481,0.201823538867757,0.867294644471258,0.62936097686179,0.364352234406397,0.522615512134507,0.776609388878569,0.701729401480407,0.941820950480178
6.7,-0.4048,?,7.5965e-07,?,16.7,8.19,9.39,200,1,1.024,0,0.0952019,'324561',0.321905199438334,0.103711005998775,0.148425400257111,0.896222247276455,0.701448176056147,0.449959707213566,0.126199009362608,0.739069578936324,0.626132510602474,0.0716131662484258,0.373484999639913,0.923704297747463,0.121035064570606,0.543274376541376,0.251215679803863,0.181882443837821,0.999683901434764,0.543350770603865,0.926211133832112,0.121454762527719,0.311828328063712,0.259389837738127,0.860233646817505,0.0900343833491206,0.0704278559423983,0.604799658991396,0.859867831459269,0.0285238770302385,0.957880865084007,0.565021488349885,0.363702610833570,0.373450110666454
1.489,-1.5457,146.355,1.3632e-05,?,80.6,103.24,10.8,295,1,1.024,1,0.0942382,'205851',0.618209140608087,0.640335868578404,0.97499331831932,0.255194969940931,0.674434665357694,0.723222217289731,0.766729208873585,0.153540601022542,0.0510332805570215,0.185508030699566,0.809211247367784,0.0200694815721363,0.997811002889648,0.272054422413930,0.479321919148788,0.0321661264169961,0.42123570619151,0.598346579587087,0.098720757290721,0.451094804564491,0.871725788107142,0.0420547439716756,0.296721169725060,0.241676113335416,0.0517883871216327,0.0676522071007639,0.998049629852176,0.162212555762380,0.751780148362741,0.76480404403992,0.637286082841456,0.885764043778181
2.625,-0.8031,?,1.0975e-06,8.603e-06,17.7,79.79,8.87,1732,0,64,1,0.200246,'353540',0.892548867035657,0.659090791363269,0.360119737451896,0.90507653914392,0.0909532632213086,0.920103044016287,0.337123883422464,0.711569473613054,0.645449874689803,0.593470022780821,0.499651326565072,0.289589465828612,0.0449611013755202,0.174492066027597,0.0749620366841555,0.486411520978436,0.368313094368204,0.588977347128093,0.352567148162052,0.899044587975368,0.771752685075626,0.833105883095413,0.99674164596945,0.844533468363807,0.469327953411266,0.412451694952324,0.282063648570329,0.830822638003156,0.274864897597581,0.88548192824237,0.591248936252668,0.780594361945987
4.41,-1.008,?,6.7621e-07,?,18,8.4,9.99,269,1,1.024,1,0.140174,'192059',0.396845598239452,0.112409842899069,0.780781758017838,0.321387503761798,0.87605875195004,0.0575619568116963,0.16022170917131,0.128187688300386,0.40701455087401,0.685928494436666,0.509719514288008,0.544632700039074,0.202730034710839,0.418073285138234,0.71775427670218,0.0136350027751178,0.439438122790307,0.523858129745349,0.323996290098876,0.389501833822578,0.645233238581568,0.257956156739965,0.767414588248357,0.954212622018531,0.315451212227345,0.120092609897256,0.130756399361417,0.587831226876006,0.236105419695377,0.898722558980808,0.0841446684207767,0.835167460376397
5.11,-0.6852,?,1.2156e-06,?,16.5,74.1,13.36,3110,0,64,1,0.227997,'211117',0.590291816741228,0.432027371134609,0.0215183186810464,0.32506067911163,0.71672160946764,0.869962958618999,0.171841815812513,0.675262746401131,0.978919992921874,0.204662195174024,0.0596343532670289,0.410840153926983,0.643230076180771,0.259124636417255,0.394814529223368,0.182479793438688,0.879894830519333,0.881722678430378,0.73764944402501,0.0940142513718456,0.889758619479835,0.302064285147935,0.0107302530668676,0.539883714867756,0.148394483141601,0.85805063857697,0.0967154088430107,0.150407108012587,0.968964075203985,0.0115894742775708,0.657087781699374,0.915925068315119
2.737,-1.6963,?,?,?,11.8,192.92,?,?,?,?,1,0.122711,'359530',0.308070457074791,0.0318313769530505,0.807115470292047,0.203566369367763,0.83646432729438,0.214614986442029,0.488620101241395,0.165952371899039,0.0466970908455551,0.693215308478102,0.537397762294859,0.0162054731044918,0.795887449290603,0.666793040698394,0.758726734435186,0.788549151970074,0.0461842727381736,0.560390267521143,0.205441511236131,0.0483387096319348,0.823318658862263,0.578892811900005,0.864271468250081,0.00897174701094627,0.705690476344898,0.0417369762435555,0.0846495104487985,0.3245558233466,0.185953754931688,0.93936050334014,0.554743117420003,0.266882802825421
1.8,-0.9885,?,6.5142e-07,2.37e-05,30.1,7.5,8.22,161,1,0.512,1,0.116582,'217805',0.703098119003698,0.0555634296033531,0.685064667835832,0.0480658963788301,0.555765284923837,0.833571034483612,0.652601132867858,0.458396059460938,0.820620716316625,0.983546972740442,0.322286272188649,0.804797420045361,0.779013794381171,0.989183653146029,0.156119433231652,0.953040678054094,0.0540312672965229,0.676758437883109,0.406313607702032,0.82394433603622,0.878390247002244,0.171481454744935,0.129053898854181,0.139068926917389,0.39812391763553,0.102078438736498,0.354685929603875,0.114971203496680,0.850660272175446,0.078453659079969,0.834495507879183,0.276556715834886
3.425,-0.6565,?,?,?,20.1,75.14,8.58,380,1,4.096,1,0.201207,'217704',0.93964334600605,0.72070466983132,0.409943848615512,0.383170329034328,0.173594549763948,0.466689315391704,0.402819020673633,0.108018984785303,0.642582204891369,0.742519638035446,0.374103951733559,0.764172239229083,0.975135640241206,0.704463133588433,0.803457130677998,0.851957999169827,0.849263535346836,0.286104958970100,0.818791093071923,0.888423264957964,0.619326279731467,0.490696952212602,0.87177028390579,0.123674316797405,0.242697621695697,0.447338816476986,0.628886372316629,0.434626326197758,0.226867836900055,0.902388558257371,0.402222002856433,0.43233850877732
2.4266,?,29.1842,2.6894e-06,4.512e-05,27.5,361.92,7.4,215,1,1.024,1,0.0703095,'305288',0.0410880923736840,0.903296810109168,0.157843650318682,0.590329217258841,0.220047126291320,0.42894250061363,0.939083783654496,0.78330925037153,0.458876854041591,0.924686604645103,0.208650827407837,0.825380093650892,0.161769938888028,0.0235308525152504,0.534120968542993,0.252291056327522,0.778626093408093,0.70801493874751,0.691160335205495,0.310835874639452,0.57845763117075,0.206708970945328,0.164061974268407,0.378667869139463,0.901040452998132,0.0516094139311463,0.631019652122632,0.999248032923788,0.21421918226406,0.572023336077109,0.396246676100418,0.148653917945921
0.383,-1.1211,92.0247,5.2607e-07,?,13.8,2.2,8.54,201,1,1.024,1,0.0386268,'299787',0.205183898564428,0.841393127571791,0.211647005751729,0.481273534009233,0.119700419949368,0.387263181852177,0.113520849728957,0.870519975665957,0.397207236615941,0.378229987341911,0.137571396538988,0.903193577425554,0.486569356638938,0.90795977273956,0.185613032197580,0.391975012142211,0.223745392868295,0.361152623780072,0.105902121169493,0.0735807907767594,0.0381042016670108,0.629383068764582,0.065622282680124,0.366614686325192,0.685633047483861,0.886422645999119,0.659124815836549,0.895223195431754,0.701318569714203,0.515849947696552,0.92391125508584,0.28460787050426
0.836,-1.4067,122.638,4.4072e-06,7.481e-05,48.1,51,10.03,201,1,0.512,1,0.128738,'271019',0.442918536718935,0.314454053528607,0.951293596997857,0.723572126589715,0.198559202952310,0.697316027944908,0.613684834446758,0.535526291467249,0.518991409800947,0.440692123956978,0.685241463128477,0.305330369621515,0.832838987233117,0.56494525494054,0.755421532085165,0.446245100582018,0.165792015846819,0.119418987771496,0.171079744817689,0.838242863537744,0.459177707554772,0.607305804500356,0.999253197340295,0.319641467183828,0.0756906666792929,0.492431453894824,0.219249278772622,0.64761776686646,0.508094249293208,0.483729324769229,0.373386765597388,0.649678665213287
2.198,-0.992,?,2.6587e-06,3.18e-05,60,4.56,22.78,1485,1,1.024,1,0.0602667,'156467',0.504664916777983,0.323202800471336,0.88459427584894,0.313797469018027,0.433204632252455,0.746897480683401,0.860011994838715,0.690906464820728,0.957681232132018,0.362610034178942,0.0525809263344854,0.229353756643832,0.881506213685498,0.745509152999148,0.316376170609146,0.3749790918082,0.313022918766364,0.126101973699406,0.436620617518201,0.915058782557026,0.636169431963935,0.387396947015077,0.556375600164756,0.627564401365817,0.393572908593342,0.0566483007278293,0.285039928508922,0.74190111970529,0.538672275142744,0.509050728753209,0.657524290960282,0.659752156119794
1.23,-1.7095,58.1324,9.6733e-07,?,17.2,30.25,9.84,288,1,1.024,1,0.139003,'316204',0.0820113632362336,0.466726298909634,0.546431294642389,0.0511953542008996,0.295498870313168,0.733117599738762,0.403232837328687,0.850472106831148,0.479048088891432,0.688910813769326,0.321764761116356,0.700588285690174,0.0922645442187786,0.582455571973696,0.079766429727897,0.493409295799211,0.148217900888994,0.790642869891599,0.704299734439701,0.553344948915765,0.074592131190002,0.89401477505453,0.0649374376516789,0.200626216828823,0.471719099208713,0.343614598968998,0.0881365051027387,0.801763877272606,0.814493261277676,0.90838180622086,0.0921969842165709,0.759339604293928
1.261,-0.957,588.845,0.00011459,2.269e-05,330.4,74.9,15.62,384,1,1.024,1,0.0309487,'232683',0.80047556408681,0.285825659288093,0.502525652060285,0.389862979762256,0.399090468883514,0.873002148699015,0.586445525288582,0.226767377927899,0.0832344610244036,0.250054821837693,0.776943509932607,0.504497776739299,0.28409763937816,0.975622643716633,0.544399743201211,0.95514603657648,0.579892557580024,0.897628893144429,0.104704558616504,0.907316860044375,0.63790157996118,0.304285819875076,0.309307073242962,0.346209325827658,0.857284095836803,0.458421122049913,0.233852932229638,0.490250837756321,0.00787714775651693,0.134520095773041,0.376892590196803,0.0516219020355493
2.374,-1.6678,65.0574,2.7841e-06,5.422e-05,22.8,103.97,8.01,259,1,2.048,1,0.197561,'323898',0.422869052737951,0.328694544034079,0.332120958715677,0.0419883814174682,0.675955338170752,0.14111625473015,0.0134970836807042,0.129756790585816,0.747393514262512,0.166848213411868,0.769072855822742,0.845641139429063,0.155475360574201,0.665568851632997,0.96482768212445,0.197464837925509,0.111015173606575,0.800413442542776,0.496819324791431,0.677892861189321,0.0264579774811864,0.993070266675204,0.527914375532418,0.319062110967934,0.873774780659005,0.167163851903751,0.9503528799396,0.51662621088326,0.416471681557596,0.153166681760922,0.150612147524953,0.108404081081972
2.692,?,26.845,1.103e-06,?,15.9,187.18,9.48,455,1,4.096,1,0.151807,'295670',0.382219353923574,0.182130819885060,0.234341002302244,0.00985564850270748,0.093406657455489,0.578005093149841,0.0984302267897874,0.836252169683576,0.437626763014123,0.754593914141878,0.464218489592895,0.600457728840411,0.955703659448773,0.602887017419562,0.765766716329381,0.230495610041544,0.324374383082613,0.267172278370708,0.858422005549073,0.670411601662636,0.34277496044524,0.619683959521353,0.296125974040478,0.471448050113395,0.185581801459193,0.409020585473627,0.673394321929663,0.876792724709958,0.201817276887596,0.785197041928768,0.0531652246136218,0.956975664477795
3.3,-1.7938,56.5312,8.9016e-07,?,37.5,6.54,8.2,231,1,1.024,0,0.110285,'232339',0.804664068156853,0.309052885742858,0.335747722303495,0.545063413446769,0.102640470955521,0.401225638575852,0.437200095038861,0.308706356212497,0.539766047848389,0.515897224657238,0.120022087125108,0.0194373184349388,0.721930860541761,0.483243643771857,0.753186357440427,0.375249287812039,0.740986390039325,0.727190394653007,0.974849298829213,0.929939065594226,0.299834854900837,0.0971461657900363,0.112902271328494,0.694856177316979,0.985197436995804,0.299472137587145,0.695608723675832,0.368210184853524,0.792030494194478,0.661281711654738,0.757941041141748,0.342345022363588
0.703,-0.9957,?,1.8806e-06,3.161e-05,34.2,171.04,8.68,162,1,0.512,1,0.143441,'228006',0.871413392713293,0.647600492229685,0.115612210473046,0.821581167867407,0.267644653329626,0.325819650897756,0.328269683755934,0.497998801060021,0.0373523267917335,0.209431635681540,0.969692377839237,0.078638318926096,0.635116810444742,0.76655085128732,0.976227910723537,0.790950004244223,0.646563466405496,0.463672483572736,0.299073615111411,0.215422185603529,0.546775240683928,0.782078717369586,0.439602681202814,0.96105616306886,0.721792214084417,0.925392505712807,0.38318661833182,0.320028204703704,0.816600692691281,0.00197599222883582,0.834734493866563,0.194560860982165
2.69,-1.2209,?,2.8691e-06,?,70,59.5,10.63,213,1,0.512,1,0.0854879,'313087',0.850458349566907,0.772448059171438,0.734402694972232,0.673574765212834,0.163171135121956,0.731361226178706,0.616363678593189,0.453512348933145,0.156475077383220,0.693074874579906,0.192970584845170,0.304767268709838,0.59941979451105,0.750861551612616,0.788910470670089,0.660942688584328,0.517892237054184,0.914472332689911,0.559780929237604,0.868194109760225,0.176705472171307,0.514775891788304,0.653199728578329,0.492494631325826,0.486097063636407,0.376462177140638,0.752899395069107,0.425788743421435,0.740289204986766,0.897660473128781,0.434314115904272,0.557421599980444
6.29,-1.1718,322.601,1.2227e-05,0.0001329,38.4,197.2,13.26,2820,0,64,0,0.148584,'153514',0.747882219497114,0.665801445022225,0.296615166589618,0.850671280408278,0.709682250162587,0.492698387475684,0.88327018218115,0.414341107010841,0.484699468128383,0.109506053151563,0.430206427583471,0.374492723261937,0.67749727726914,0.208552523516119,0.565169469453394,0.794239038601518,0.172277953708544,0.765366926556453,0.844638599315658,0.866058787098154,0.66933459462598,0.266338482499123,0.348653822671622,0.389562504831702,0.963073153048754,0.649494722951204,0.461171873612329,0.914242837345228,0.814402484567836,0.60546653275378,0.906193932518363,0.658056420972571
3.35,-1.7132,52.9634,6.1513e-07,?,12.5,10.8,9.29,311,1,2.048,1,0.155611,'154112',0.508439922705293,0.228236076189205,0.969768035691231,0.872346247779205,0.486821675440297,0.729851760203019,0.48991836910136,0.107769650174305,0.79926117695868,0.474037791602314,0.715807063272223,0.878484141081572,0.226505677215755,0.159938992233947,0.614250072743744,0.229109900537878,0.14982715039514,0.0507804956287146,0.554466317640617,0.39312047790736,0.690551492618397,0.962981176795438,0.81179692549631,0.255579004529864,0.528012531111017,0.75827632797882,0.665644746273756,0.00896076508797705,0.79422895051539,0.711781560210511,0.642535076709464,0.952442521462217
1.1,-1.1896,69.0006,3.703e-06,9.997e-05,64.4,7.04,23,1450,1,1.024,1,0.0172518,'309111',0.101997177815065,0.608275409089401,0.0684313792735338,0.65178978536278,0.244691801955923,0.723376040812582,0.955158177064732,0.704483942361549,0.412243229802698,0.208372879773378,0.0319141109939665,0.479038263205439,0.807757730595767,0.262817929266021,0.978700208244845,0.996247375616804,0.996235324069858,0.422261394793168,0.169717517448589,0.631348959868774,0.611151554854587,0.84955365722999,0.381724396022037,0.312517007580027,0.0685501918196678,0.739355858648196,0.332232669228688,0.0818959518801421,0.37391496472992,0.246222874615341,0.910544942133129,0.586828613188118
2.433,-1.56,109.165,5.8812e-06,?,74.8,46.62,9.06,209,1,0.512,1,0.0953979,'309096',0.111226705368608,0.869075817288831,0.79999447753653,0.66119266091846,0.98086250689812,0.224511143984273,0.582726356107742,0.648001178866252,0.240060211392120,0.603455539094284,0.979171506362036,0.345128907356411,0.659236575011164,0.264591034268960,0.114100211765617,0.992613256210461,0.0916321326512843,0.673760873964056,0.525216162903234,0.272270717890933,0.660614938242361,0.193630585679784,0.546857936307788,0.533629497280344,0.807469700463116,0.309834856539965,0.850738963345066,0.316699991235510,0.908357643289492,0.557334960903972,0.489710125839338,0.346170716919005
0.606,-0.83,81.5773,1.8614e-05,1.402e-05,339.9,9.1,18,?,1,0.064,1,0.0123453,'130088',0.137167223496363,0.385565627599135,0.888665857492015,0.324100029189140,0.00113393622450531,0.370919258566573,0.87030936521478,0.266929494682699,0.131159298587590,0.0856459781061858,0.853001685114577,0.103394347475842,0.352798481239006,0.433215304045007,0.240970146842301,0.728426962392405,0.0986432840581983,0.515385250095278,0.939071374945343,0.0623646310996264,0.992978742346168,0.557686185929924,0.71257624332793,0.240326961269602,0.306309843901545,0.919477492570877,0.316299492027611,0.842129615601152,0.786793337436393,0.257499046623707,0.827407976612449,0.654723908985034
0.4428,-0.4666,33.4456,?,8.364e-06,8.1,8.37,9.39,437,1,4.096,1,0.052543,'209755',0.108747668564320,0.886369993677363,0.654699966311455,0.915740228490904,0.124747514491901,0.469493944663554,0.183456706348807,0.736766004934907,0.668253590120003,0.735654696123675,0.241581490030512,0.536095108836889,0.56827424862422,0.669944075169042,0.501969802891836,0.788747858256102,0.898724435595796,0.936557155800983,0.0814869871828705,0.0913412282243371,0.616687664529309,0.779845203040168,0.334957090904936,0.64860952179879,0.936325907707214,0.562109010992572,0.455386862158775,0.628859193762764,0.554738505277783,0.407679712865502,0.246939326636493,0.209614377003163
1.545,?,19.0219,5.8137e-08,?,8.3,2.97,?,?,?,?,1,0.0201623,'312047',0.177032411564142,0.811489452142268,0.854764139046893,0.82672130339779,0.0390115906484425,0.213316402630880,0.245560516603291,0.623575756559148,0.82065514428541,0.0469620646908879,0.191070791101083,0.819295486202464,0.134886705782264,0.612005526665598,0.063375603640452,0.00432724971324205,0.899319955613464,0.750032673589885,0.359476604266092,0.355532344896346,0.901402270887047,0.454905858729035,0.576805374352261,0.0308576147072017,0.0739345524925739,0.680978586431593,0.502452951855958,0.205337591236457,0.752032059244812,0.654742014827207,0.250326676061377,0.528940261807293
0.783,-1.7367,74.3109,3.8019e-06,0.0001085,15.1,205.92,7,1260,0,64,0,0.290466,'179968',0.880771384341642,0.330713043222204,0.986661081202328,0.293788658687845,0.3207987700589,0.831847391556948,0.926861462416127,0.269472603918985,0.727797157363966,0.473968347068876,0.267141730990261,0.401826473651454,0.142968783155084,0.555113515583798,0.631327392766252,0.386026697931811,0.195116331800818,0.094435976119712,0.220903767971322,0.231522171990946,0.376833737362176,0.95275422767736,0.603727990295738,0.0949432516936213,0.665306075243279,0.105910759419203,0.306840769480914,0.0701310990843922,0.0290667163208127,0.301745053613558,0.208873713854700,0.202857799362391
4.045,-1.1843,?,1.0442e-06,5.761e-06,45.1,6.06,10.17,199,1,0.512,1,0.11637,'180455',0.102601173100993,0.00208512810058892,0.555188231170177,0.390749188838527,0.287333371583372,0.355622597970068,0.163627912756056,0.715286419028416,0.853205884806812,0.734841321595013,0.141468331683427,0.117638744646683,0.891919448506087,0.998158337082714,0.484084581490606,0.230164729990065,0.946125202812254,0.0183452456258237,0.543130899313837,0.597438525641337,0.752602650551125,0.475497363368049,0.660481671569869,0.631209169281647,0.627115809591487,0.179098622873425,0.535959455417469,0.704905125778168,0.727075692033395,0.624606432626024,0.439741856884211,0.375782172894105
