@relation input_data
@attribute Z numeric
@attribute A numeric
@attribute EP0 numeric
@attribute FL numeric
@attribute FLX_PC_LATE numeric
@attribute MAX_SNR numeric
@attribute T90 numeric
@attribute bat_image_signif numeric
@attribute bat_img_peak numeric
@attribute bat_is_rate_trig_binary numeric
@attribute bat_trigger_dur numeric
@attribute uvot_detection_binary numeric
@attribute PROB_Z_GT_4 numeric
@attribute triggerid_str {'106709','111063','111529','111622','114753','117504','130088','148225','148646','148833','150314','151207','152113','153514','154112','156467','163136','163170','174738','176453','177408','177533','178750','179968','180455','180977','191157','192059','205851','207399','208169','209352','209755','211117','211957','213486','213630','213823','214805','217704','217805','219101','221755','228006','228316','228581','229185','231231','231362','232339','232683','238108','238174','239899','240766','252593','255445','259714','263361','271019','275087','276205','278693','278854','279592','280706','282003','284856','285654','286809','287364','295670','296805','297114','299787','301981','302888','305288','306757','306778','308041','309096','309111','310613','312047','313087','313116','313299','313417','316204','316534','317508','319016','319036','319584','323898','324561','324895','326115','330856','331093','332851','332931','334877','335105','336489','337914','338895','342121','349510','350184','350311','352190','352648','353540','355083','357512','359530','359711','359951','370791','370846','373172','373458','374210','375246','377179','378559','412982','414592','416103','416135','419797','420398','421814','425151'}
@attribute useless1 numeric
@attribute useless2 numeric
@attribute useless3 numeric
@attribute useless4 numeric
@attribute useless5 numeric
@attribute useless6 numeric
@attribute useless7 numeric
@attribute useless8 numeric
@attribute useless9 numeric
@attribute useless10 numeric
@attribute useless11 numeric
@attribute useless12 numeric
@attribute useless13 numeric
@attribute useless14 numeric
@attribute useless15 numeric
@attribute useless16 numeric
@data
2.692,?,26.845,1.103e-06,?,15.9,187.18,9.48,455,1,4.096,1,0.151807,'295670',0.9570627566427,0.671784858452156,0.702947719953954,0.326435183640569,0.141161424107850,0.301030959468335,0.514046816853806,0.679528932785615,0.396327611291781,0.389474738622084,0.959147453075275,0.0186309011187404,0.840960837900639,0.530263177352026,0.656373675214127,0.397735914681107
3.3,-1.7938,56.5312,8.9016e-07,?,37.5,6.54,8.2,231,1,1.024,0,0.110285,'232339',0.67596246721223,0.519636189332232,0.107764014974236,0.310383159900084,0.456277487101033,0.557771344669163,0.393923158291727,0.606670259265229,0.606395925860852,0.0810970852617174,0.928645271575078,0.0694798098411411,0.638447021367028,0.746678825002164,0.84876001207158,0.630232811206952
0.703,-0.9957,?,1.8806e-06,3.161e-05,34.2,171.04,8.68,162,1,0.512,1,0.143441,'228006',0.601177631877363,0.254902751650661,0.91740012448281,0.37047208705917,0.435952753992751,0.392201646463946,0.53156335442327,0.227558702463284,0.598776401486248,0.922605091705918,0.129643464693800,0.486764881527051,0.169960344908759,0.553754079155624,0.437175347236916,0.515454412903637
2.69,-1.2209,?,2.8691e-06,?,70,59.5,10.63,213,1,0.512,1,0.0854879,'313087',0.709939915686846,0.2742543683853,0.292605479480699,0.712834293488413,0.132066514808685,0.347535615088418,0.72949240822345,0.363128485390916,0.345317446161062,0.256495197303593,0.638059014687315,0.829305282793939,0.945791671285406,0.401179900858551,0.523417118471116,0.147857653675601
6.29,-1.1718,322.601,1.2227e-05,0.0001329,38.4,197.2,13.26,2820,0,64,0,0.148584,'153514',0.603354640537873,0.483375978423283,0.274778081802651,0.69855454750359,0.940875082509592,0.541561235440895,0.89860301464796,0.507207098649815,0.819079984910786,0.129573478130624,0.96086458885111,0.424022828228772,0.774669568520039,0.0940956268459558,0.989063798682764,0.569485284853727
3.35,-1.7132,52.9634,6.1513e-07,?,12.5,10.8,9.29,311,1,2.048,1,0.155611,'154112',0.331242349231616,0.255656351102516,0.099369661649689,0.396809559548274,0.902233796427026,0.165183403762057,0.097749054664746,0.763188305078074,0.776987184071913,0.43552363361232,0.0361530443187803,0.541750272735953,0.584589666919783,0.0779953429009765,0.822639529127628,0.222763736499473
1.1,-1.1896,69.0006,3.703e-06,9.997e-05,64.4,7.04,23,1450,1,1.024,1,0.0172518,'309111',0.927792332600802,0.0309865558519959,0.871134247630835,0.424965146463364,0.632203377550468,0.915768628707156,0.550568918697536,0.347859068308026,0.680800202535465,0.451601631939411,0.095174560090527,0.894531540805474,0.434132575523108,0.7063315177802,0.0567325265146792,0.422204082133248
2.433,-1.56,109.165,5.8812e-06,?,74.8,46.62,9.06,209,1,0.512,1,0.0953979,'309096',0.114568909397349,0.842420478584245,0.239363472210243,0.610456404276192,0.381125278072432,0.0723224601242691,0.714655538089573,0.103073127800599,0.128798584220931,0.816917764022946,0.680563394445926,0.741846005665138,0.289358177687973,0.0352319935336709,0.213091319892555,0.0426296202931553
0.606,-0.83,81.5773,1.8614e-05,1.402e-05,339.9,9.1,18,?,1,0.064,1,0.0123453,'130088',0.982600706163794,0.499586012214422,0.949190326966345,0.171417519683018,0.534828631673008,0.873415499459952,0.845517660723999,0.313248100224882,0.954014683607966,0.0551602523773909,0.569001155905426,0.909752700012177,0.651168108684942,0.0287483453284949,0.495553973829374,0.851119397906587
0.4428,-0.4666,33.4456,?,8.364e-06,8.1,8.37,9.39,437,1,4.096,1,0.052543,'209755',0.0737286261282861,0.298051170073450,0.298459134297445,0.482074974803254,0.555783129064366,0.720909812022,0.498714492190629,0.358067812398076,0.365611459361389,0.100456415908411,0.583526810165495,0.0874205464497209,0.47496784105897,0.626320068025962,0.338109591277316,0.418087769532576
1.545,?,19.0219,5.8137e-08,?,8.3,2.97,?,?,?,?,1,0.0201623,'312047',0.495492444140837,0.430944454390556,0.272642888361588,0.995758209377527,0.581396786728874,0.0815788076724857,0.460058137308806,0.970571529585868,0.850654953392223,0.886946662794799,0.464227884309366,0.945824329275638,0.144872973207384,0.790349232498556,0.41978941205889,0.792233587009832
0.783,-1.7367,74.3109,3.8019e-06,0.0001085,15.1,205.92,7,1260,0,64,0,0.290466,'179968',0.601443319348618,0.00204201368615031,0.852272992022336,0.437512145610526,0.334144037915394,0.134576288517565,0.0890788869000971,0.198632989544421,0.945514084072784,0.423807675018907,0.650640621082857,0.853742575505748,0.449023382738233,0.851493269437924,0.232464908389375,0.125910679809749
4.045,-1.1843,?,1.0442e-06,5.761e-06,45.1,6.06,10.17,199,1,0.512,1,0.11637,'180455',0.09309541573748,0.780942304758355,0.545538377948105,0.793666689656675,0.212235204176977,0.137565242825076,0.718583312584087,0.306956437649205,0.525156886084005,0.608508958714083,0.497659796383232,0.533555063884705,0.0095028227660805,0.206128566991538,0.158341801259667,0.595211471663788
3.221,-1.8763,?,1.8464e-06,1.082e-05,23.5,295.55,9.05,179,1,0.512,1,0.181242,'211957',0.196867989841849,0.770218991674483,0.136650637723505,0.325918196234852,0.555093134054914,0.647508462425321,0.82902744342573,0.281523170182481,0.130220482125878,0.687435723142698,0.911628684727475,0.937839780235663,0.31921589653939,0.367597494274378,0.168225778033957,0.591195793822408
2.6147,-1.1652,286.555,8.6884e-06,9.562e-05,41.4,239.68,8.38,234,1,1.024,1,0.0893744,'151207',0.128163930261508,0.0924188354983926,0.164802617859095,0.148109926842153,0.240085035329685,0.467119075357914,0.804289233870804,0.720852105878294,0.567113247234374,0.473290824098513,0.500901545630768,0.545422572875395,0.0881068895105273,0.902260580100119,0.617871490307152,0.387823516968638
5.6,-0.82,70.8974,1.3183e-06,?,43.1,23.03,12.06,220,1,0.256,0,0.124197,'231362',0.106768585275859,0.835255736717954,0.469051103806123,0.974697566824034,0.351437272038311,0.300352323334664,0.702840646263212,0.554290113039315,0.356631270376965,0.287521158112213,0.808545202948153,0.0527813939843327,0.00374079728499055,0.612413906725124,0.560875444905832,0.205667083384469
3.2,?,23.707,2.4765e-07,?,17,7.05,11.6,371,1,1.024,0,0.0298625,'231231',0.333113277098164,0.579083958640695,0.298824313096702,0.629939038772136,0.559435836039484,0.0351033892948180,0.796342510264367,0.114226029021665,0.363112518796697,0.250649997033179,0.106931702699512,0.448121830821037,0.368603681446984,0.804315795656294,0.615613230038434,0.913616918027401
2.346,?,?,1.5581e-06,6.881e-05,14.1,4.9,11.47,264,1,2.048,1,0.0845535,'163136',0.98076760279946,0.925505123334005,0.171509937616065,0.309099798556417,0.770851908717304,0.645277671748772,0.117976213339716,0.382461580680683,0.176777663873509,0.923311164136976,0.618381828535348,0.733674984658137,0.552243234356865,0.770529955858365,0.174164660973474,0.656733219977468
0.08,-0.2721,?,1.6713e-07,?,7.3,8.32,9.84,527,1,4.096,0,0.133826,'163170',0.762481460813433,0.201630484778434,0.864999307086691,0.34282659413293,0.365922032855451,0.730065563227981,0.879977589007467,0.155117064481601,0.565657920902595,0.896735578775406,0.100137124070898,0.0180669962428510,0.733476326335222,0.629782776115462,0.925459281541407,0.972967184148729
4.349,-1.219,77.2381,1.9154e-06,?,11.6,45.6,7.51,1323,0,64,0,0.134745,'301981',0.384027770720422,0.922855294076726,0.763754470041022,0.998870549025014,0.209241675678641,0.865092524560168,0.51023687212728,0.161167728947476,0.356799086090177,0.273066504625604,0.0260145391803235,0.181883764220402,0.925918492954224,0.936759570846334,0.711627898970619,0.00815138407051563
0.297,-1.2156,108.924,1.0308e-06,?,12.5,34.44,8.16,533,1,8.192,0,0.101888,'152113',0.538970147492364,0.582502474542707,0.268195547629148,0.779199502896518,0.823604536242783,0.0851154420524836,0.989472113316879,0.0659549362026155,0.794796438887715,0.449681598227471,0.55633132182993,0.823430543998256,0.526863469975069,0.656853775493801,0.261650304775685,0.762847617734224
0.97,-0.275,?,5.4231e-07,?,12.5,161.25,10.8,2494,0,64,1,0.199427,'276205',0.725456837099046,0.79231208190322,0.200517506571487,0.702871950343251,0.496736355824396,0.779560168739408,0.95056658051908,0.0167514784261584,0.984298578230664,0.0323725154157728,0.923892731312662,0.823507505934685,0.602477338630706,0.537807846441865,0.0961189698427916,0.316293575800955
0.49,?,42.5112,1.2386e-05,4.086e-05,50.7,9.57,17.95,660,1,1.024,1,0.00487404,'377179',0.15197450411506,0.695790477795526,0.134412025799975,0.782447113888338,0.525633697863668,0.0931327878497541,0.593736372189596,0.0583035598974675,0.355374477105215,0.723942379234359,0.346076649846509,0.44792041182518,0.0218428943771869,0.663388456916437,0.239361379994079,0.858334947610274
1.24,-0.464,78.2516,7.7496e-06,?,63.3,126.36,6.74,156,1,1.024,0,0.107049,'370791',0.191361556295305,0.290203959913924,0.55663882708177,0.750723160803318,0.614519536262378,0.857905622338876,0.567609838210046,0.393839381402358,0.704207402653992,0.665591012686491,0.0671250415034592,0.862676952499896,0.683073667343706,0.130000445060432,0.372263946104795,0.226216370472685
3.082,-1.0137,?,3.6843e-06,0.0001379,50.7,102.55,14.77,490,1,1.024,1,0.17201,'213823',0.092054430861026,0.0268703240435570,0.94497189274989,0.28119533136487,0.551178119378164,0.268350915051997,0.781495841685683,0.0317370605189353,0.426569815957919,0.705018423497677,0.422048901673406,0.408981921616942,0.279719979502261,0.976467139553279,0.860406077699736,0.590069941710681
2.45,-1.8196,?,3.9601e-07,?,7.3,14.72,7.15,1465,0,64,0,0.159326,'286809',0.998479639180005,0.311986316693947,0.74046517116949,0.609898692695424,0.249037977075204,0.46737046376802,0.785441263578832,0.462518002837896,0.947716808645055,0.947415475035086,0.384932225802913,0.465897011104971,0.63934016157873,0.749297278234735,0.322518363362178,0.453302850015461
0.971,-1.6883,?,1.458e-06,6.29e-05,83.3,4.44,11.47,200,1,0.256,1,0.00934695,'373172',0.159556765574962,0.712401221739128,0.372515720315278,0.450282608391717,0.84910158161074,0.0140616584103554,0.534787802025676,0.377126742620021,0.125369986984879,0.588162945350632,0.000481749186292291,0.567455839831382,0.892358527285978,0.337991265114397,0.143824507249519,0.178344838554040
1.755,-0.5261,36.0217,4.1091e-07,?,14.8,43.56,9.39,238,1,1.024,0,0.0416163,'420398',0.493597394321114,0.184161748038605,0.901005495339632,0.207486001541838,0.64135679253377,0.905576358083636,0.572853564284742,0.570506291463971,0.903375782538205,0.697408869164065,0.108263604110107,0.630983503069729,0.603964331559837,0.558833165327087,0.572811585618183,0.138679800322279
2.17,-0.7461,42.227,5.738e-07,?,24.6,7.68,?,?,?,?,1,0.0805385,'287364',0.0669316614512354,0.70305205276236,0.0161765189841390,0.734010371612385,0.274077464826405,0.736283040605485,0.849373768549412,0.692144594853744,0.0375694641843438,0.915931504685432,0.253185243112966,0.353624951094389,0.551364643033594,0.559403422521427,0.215887320926413,0.738897680537775
4.667,-1.3728,58.5787,8.4459e-07,?,10.4,31.05,7.44,1426,0,64,1,0.142291,'412982',0.161174590000883,0.329686836339533,0.774192865937948,0.159287331392989,0.668150289682671,0.677069325465709,0.342103834962472,0.770537346601486,0.154479628428817,0.986641347175464,0.998588589718565,0.0693312895018607,0.234490207163617,0.671940895030275,0.878594818990678,0.381524181459099
0.5915,-1.7402,51.2649,?,?,13.4,17.38,9,?,1,8.192,0,0.173641,'106709',0.84387783659622,0.0448906477540731,0.739212495274842,0.950848346808925,0.817626497009769,0.532680251635611,0.271357296267524,0.106464415090159,0.00172697752714157,0.194360047578812,0.00612973072566092,0.904380881693214,0.832504953024909,0.686671796487644,0.999697079649195,0.472002120455727
0.937,-1.6966,142.501,2.2459e-06,?,43.5,5.92,19.85,927,1,1.024,1,0.0578667,'229185',0.745064489776269,0.600003956351429,0.438076338497922,0.826482982374728,0.401820143219084,0.410350540885702,0.444409880088642,0.00855247187428176,0.572247221833095,0.510855217231438,0.450390813173726,0.914016663795337,0.844716090708971,0.81798607064411,0.70605695201084,0.829248522641137
2.68,?,20.5322,?,1.87e-05,6.4,39.9,6.78,345,1,4.096,1,0.116809,'213486',0.547566182212904,0.747266648337245,0.608978648902848,0.22709723864682,0.0379549453500658,0.550968983210623,0.281055418075994,0.305102709447965,0.489273198647425,0.05856843595393,0.505937861511484,0.584021943388507,0.967059937072918,0.147015743656084,0.032462113071233,0.064443307928741
3.78,-0.3394,?,6.0501e-07,0.0001163,16.4,18.54,7.96,363,1,3.072,1,0.134062,'213630',0.729802943067625,0.514930256875232,0.0851631169207394,0.736430570483208,0.0927181895822287,0.728236774448305,0.346095980145037,0.0998293766751885,0.697349485009909,0.353300354443491,0.0432938558515161,0.223663990851492,0.422228444134817,0.792437456315383,0.473715488333255,0.256939078215510
3.355,-1.9393,?,3.2846e-06,?,22.6,42,10.83,1510,0,64,0,0.118595,'252593',0.217029401566833,0.0618991025257856,0.647547533037141,0.299304531188682,0.281394684221596,0.958311399677768,0.710908374516293,0.577787238871679,0.434887226670980,0.922613876406103,0.673621363937855,0.944397393148392,0.697832884499803,0.0933527669403702,0.371144037693739,0.0713069087360054
3.626,-1.1777,192.945,7.4479e-06,3.033e-05,26.8,330.66,?,?,?,?,1,0.115814,'285654',0.144710642518476,0.650866047479212,0.101885236334056,0.352380398893729,0.121046539396048,0.91858953051269,0.715577251743525,0.200919363647699,0.792927187401801,0.644138111267239,0.754641893086955,0.0352521806489676,0.967225536005571,0.986155620077625,0.266520256176591,0.72267695213668
1.14,-1.5712,56.7923,1.037e-06,0.001393,10,79.2,7.13,1485,0,64,1,0.204159,'297114',0.698252118658274,0.330116504337639,0.83579654362984,0.95234460523352,0.50627757399343,0.501773792784661,0.87370593380183,0.115182539680973,0.59917661268264,0.302104255417362,0.710657889489084,0.69465912040323,0.703254993073642,0.623447339050472,0.247811232227832,0.101884233998135
1.949,?,62.0052,4.3185e-06,0.0001808,43.7,94.6,8,?,1,1.024,0,0.0927309,'111063',0.599183170124888,0.260279480135068,0.49422923498787,0.645230226917192,0.868794718757272,0.933775194687769,0.377967964159325,0.155653217574582,0.65243469341658,0.929251649882644,0.824878168990836,0.984470335068181,0.114473951281980,0.210935416631401,0.447866652160883,0.917624161811545
3.24,-1.9988,?,1.8652e-06,0.0001249,18.2,153.55,10,?,1,1.024,1,0.147537,'111622',0.437583660939708,0.580317726824433,0.0402929794508964,0.0702126405667514,0.5160177948419,0.645516484044492,0.0804485243279487,0.249962995760143,0.750032837036997,0.614845198346302,0.00173061969690025,0.960405219811946,0.940824777353555,0.652210959699005,0.400958967627957,0.029075104277581
1.44,-1.2172,50.8613,1.4075e-06,0.0001288,49,30.96,9,?,1,0.512,1,0.0629064,'111529',0.511516898404807,0.896279036067426,0.288672001101077,0.40828443900682,0.0802484648302197,0.890239639673382,0.243556732777506,0.0239251118618995,0.272831685142592,0.775059819919989,0.324386907275766,0.0839957711286843,0.343510003527626,0.79676487413235,0.264552781125531,0.504538379143924
1.416,-1.7242,55.7354,1.4522e-06,?,16.1,125.28,11.68,2763,0,64,1,0.258199,'313116',0.670656997477636,0.445078443270177,0.659758200403303,0.955813877750188,0.26318204193376,0.397184284636751,0.199387741507962,0.688819646136835,0.392516612773761,0.177971408003941,0.0500708303879946,0.0905432170256972,0.0266646237578243,0.505999034736305,0.877506455406547,0.00518706906586885
1.6398,-1.1255,?,2.2323e-05,4.126e-05,157.5,19.57,25.82,1604,1,1.024,1,0.0289854,'313299',0.42833353462629,0.857327298028395,0.352170926053077,0.812155931955203,0.325955610722303,0.698636726941913,0.369242344517261,0.865013164933771,0.800068277399987,0.477840008214116,0.0155164897441864,0.230859990231693,0.905638290336356,0.806981247616932,0.504677759949118,0.00945537630468607
3.036,-1.1652,860.327,5.1189e-05,4.244e-05,123,83.66,17.87,741,1,1.024,1,0.0282951,'313417',0.948441900778562,0.639019339811057,0.163420357508585,0.577526019420475,0.637953503523022,0.226034363498911,0.230888767866418,0.718098185723647,0.799994227709249,0.639388072537258,0.154443009523675,0.68918334459886,0.117712966632098,0.252092894166708,0.679998714243993,0.900214135181159
0.54,-1.2938,141.254,0.00014773,0.0001623,719.8,115.2,22.57,1097,1,1.024,1,0.0261202,'355083',0.410836766241118,0.792338025290519,0.896006600698456,0.657119514420629,0.249161990126595,0.226241799769923,0.142340995138511,0.340673075988889,0.217601840849966,0.0977048515342176,0.542775046546012,0.508306903066114,0.346866906853393,0.676820963155478,0.541220530401915,0.587541993940249
3.038,-1.3115,?,4.317e-06,9.483e-05,42,275.59,17.95,6719,0,128,1,0.28528,'332851',0.631223549135029,0.68537595286034,0.676434728782624,0.128557277843356,0.0357774787116796,0.392935051117092,0.411215401487425,0.556925166165456,0.304583101067692,0.282133883098140,0.162737484090030,0.568741615163162,0.381403186591342,0.916092686820775,0.884613523026928,0.373615160351619
2.352,-1.5259,82.2751,2.4964e-06,2.697e-05,25.9,47.7,10.23,491,1,3.072,1,0.208746,'255445',0.27439468819648,0.891181228682399,0.284710363019258,0.350311928428710,0.942529327236116,0.357737647835165,0.250677584204823,0.864326065639034,0.614643128821626,0.328394423937425,0.459182391176,0.695157770998776,0.378858746262267,0.642074586590752,0.0215762322768569,0.912128057796508
4.9,-1.4133,?,4.3832e-06,?,22.3,229.89,10.54,2188,0,64,0,0.308321,'209352',0.0641761869192123,0.542894769459963,0.875892674317583,0.469288965919986,0.543587989872321,0.0550005398690701,0.511079649906605,0.243452070746571,0.679917150642723,0.299861934967339,0.0733241536654532,0.590536867966875,0.864390813047066,0.477894351584837,0.678629736183211,0.691443672403693
0.82,-1.004,?,3.337e-05,5.926e-05,262.1,21.2,?,?,?,?,1,0.02026,'278854',0.274030849337578,0.76432455284521,0.864722643978894,0.241471162298694,0.788093257928267,0.376118990825489,0.186425141524523,0.87638872442767,0.45808187359944,0.153917332179844,0.678892999421805,0.559636340942234,0.887725781882182,0.665539114270359,0.85749308229424,0.516853088978678
3.8479,-1.4333,129.472,3.342e-06,3.569e-05,16,169.1,11.49,2138,0,64,1,0.218448,'332931',0.113756318110973,0.406165681313723,0.067992553813383,0.555212343810126,0.153197013074532,0.0915557942353189,0.696175310062245,0.344962809467688,0.250943113816902,0.964793018298224,0.500725996680558,0.429924511816353,0.343293228885159,0.500894171884283,0.097048339433968,0.479188963072374
2.31,?,31.0335,1.9941e-07,?,8.6,3.55,8.48,2083,0,64,1,0.101626,'278693',0.259857393102720,0.83360168011859,0.334238004405051,0.22740445449017,0.146899757673964,0.081721207825467,0.331645142519847,0.582792259054258,0.817060597706586,0.451689641689882,0.141546264057979,0.829281208803877,0.89576942822896,0.102990467334166,0.252713344292715,0.222292947582901
3.91,-1.4744,96.4822,1.4223e-05,0.0003059,42.8,369.94,8.42,204,1,1.024,0,0.175267,'180977',0.0863268203102052,0.301768282661214,0.691546638030559,0.537800015183166,0.516778602730483,0.46241971408017,0.728946773102507,0.753633049549535,0.0330270328558981,0.431422804482281,0.229976414237171,0.67706183809787,0.822620982537046,0.272379846777767,0.016663268674165,0.606071810936555
3.44,-0.6588,144.268,?,?,15.8,32.39,8.14,361,1,4.096,0,0.0719493,'238174',0.70590784191154,0.0793719210196286,0.0229310037102550,0.614734365837649,0.0461060300003737,0.00470748241059482,0.0457433555275202,0.495261066127568,0.765293861739337,0.742090053157881,0.377124364254996,0.305434819543734,0.108596058329567,0.758847315097228,0.748199013760313,0.178509337594733
0.0331,-0.8437,?,7.8535e-07,?,6.3,128,7.84,2111,0,80,1,0.271464,'191157',0.458585171960294,0.705816829577088,0.399618112947792,0.910954059800133,0.422988584497944,0.585992660373449,0.470608573406935,0.465861741453409,0.185509623261169,0.532650799490511,0.96430703671649,0.0693934774026275,0.0171015490777791,0.165976994670928,0.89069181215018,0.0750037427060306
0.696,-0.6803,?,1.2854e-06,?,13.7,113.16,10.01,1837,0,88,1,0.216866,'359951',0.836400838335976,0.157165942015126,0.894587374059483,0.927685152273625,0.130957458168268,0.593367590103298,0.301803594687954,0.0457667135633528,0.21187636628747,0.732746190857142,0.473853216506541,0.719165392918512,0.236765202600509,0.938930986216292,0.417939720209688,0.827082928968593
2.512,-0.5208,?,7.8846e-06,9.472e-05,24.4,19.38,9.79,241,1,4.096,1,0.0896585,'335105',0.483701843302697,0.227167941862717,0.761990218190476,0.053309774491936,0.865329634863883,0.464945745654404,0.505213327938691,0.412051155464724,0.7436664768029,0.0675580676179379,0.616952693322673,0.134219339117408,0.98646202776581,0.496511593926698,0.986532010138035,0.121788363670930
1.165,-0.4458,?,5.6717e-07,?,10.3,52.48,7.29,187,1,1.408,0,0.163681,'259714',0.725266188150272,0.178864088375121,0.170616348739713,0.74898084322922,0.133709952235222,0.703493097098544,0.384472258854657,0.834989952389151,0.732509089400992,0.143612175947055,0.656494018854573,0.560425095260143,0.318656504387036,0.333041968289763,0.669554501771927,0.401403196156025
1.608,-1.387,172.256,8.704e-06,0.0001712,52.4,57.97,8.16,163,1,1.024,1,0.126235,'349510',0.00353534170426428,0.887316636973992,0.879350721137598,0.861475206445903,0.268670560326427,0.199039838043973,0.540622489526868,0.260886629112065,0.844879783224314,0.125416269525886,0.503032833337784,0.99397231102921,0.978368943557143,0.0620484808459878,0.578922230750322,0.175655160564929
2.04,?,?,3.4241e-07,?,10.4,11.31,9.07,384,1,4.096,1,0.141616,'282003',0.746517695253715,0.373337674885988,0.997473339783028,0.693044416606426,0.317727189045399,0.888939879834652,0.0500772215891629,0.289375746389851,0.683776167221367,0.725807892624289,0.207525086589158,0.0733776069246233,0.00398371019400656,0.546486873878166,0.796282382914796,0.619591827969998
2.752,-1.4019,?,2.8419e-06,4.211e-05,68.4,39.96,9.18,243,1,1.024,1,0.0992083,'374210',0.366266998462379,0.0697475052438676,0.955317588988692,0.800220028031617,0.183328905375674,0.686436918796971,0.180701039964333,0.743570100981742,0.135384640656412,0.285527827683836,0.696368341334164,0.655030714347959,0.926618097582832,0.323985099326819,0.446425507077947,0.198314957087860
0.54,-1.7949,57.9955,4.3217e-06,7.6e-05,44.7,119.51,7.13,243,1,4.096,1,0.174465,'221755',0.31982501829043,0.0238621907774359,0.356667149579152,0.254982443992049,0.880723084090278,0.859191119670868,0.351927149808034,0.164315941510722,0.501776328543201,0.690760010620579,0.62902694218792,0.204811420058832,0.317863550735638,0.633269171230495,0.150121462298557,0.232182663865387
1.71,-1.2432,?,5.175e-06,7.828e-05,55.8,39,17.7,520,1,1.024,1,0.103873,'373458',0.295780896907672,0.3518105908297,0.311133594717830,0.994634142378345,0.279617554508150,0.019113956252113,0.978941737674177,0.759561370126903,0.0553753522690386,0.178045163396746,0.307656122604385,0.733772033359855,0.819739156635478,0.97615395160392,0.60242052283138,0.91775584849529
5.3,-0.4337,?,8.0819e-07,2.294e-05,6.8,27.54,?,?,?,?,0,0.213529,'150314',0.559784971643239,0.114360221894458,0.73598514101468,0.150482944212854,0.180240320274606,0.319679456064478,0.491666526533663,0.881652740761638,0.0223222963977605,0.373932509217411,0.548321558861062,0.774364490294829,0.906102980021387,0.658143300563097,0.864238814916462,0.546766957966611
0.937,-1.089,1381.91,0.00041119,3.155e-05,725.4,147.32,22.5,1909,1,1.024,1,0.0169694,'306757',0.210564365610480,0.225207697600126,0.781502889702097,0.795724244788289,0.102082702331245,0.397060359362513,0.157422689953819,0.159845760557801,0.0950648339930922,0.418021422112361,0.629236530512571,0.599342240253463,0.265046740649268,0.516290677478537,0.299643342848867,0.566192049067467
1.95,-1.0297,?,5.3762e-06,?,60.5,32.88,15.1,459,1,1.024,1,0.097116,'306778',0.0925355672370642,0.937449756311253,0.515666729770601,0.873844823101535,0.745541962562129,0.325576490489766,0.834806943312287,0.0504542449489236,0.333229582989588,0.857106880517676,0.956723692361265,0.377250335644931,0.305469313636422,0.731169919483364,0.26754949381575,0.332071197452024
1.51,-1.4146,131.73,4.5309e-06,2.715e-05,45.7,30.24,12.69,332,1,1.024,1,0.125541,'208169',0.215302531141788,0.999272387940437,0.76723507232964,0.960644844220951,0.327245887368917,0.544869646662846,0.748784208204597,0.254047992872074,0.0240213784854859,0.395469980314374,0.567471467191353,0.366355682490394,0.941326267784461,0.869057469069958,0.477654955815524,0.96955861337483
0.542,-1.5913,68.1855,2.3823e-05,0.0005874,295.2,66.33,18.67,813,1,1.024,1,0.048831,'425151',0.88896129373461,0.22942505357787,0.508726836182177,0.724094811128452,0.0397235292475671,0.00323458155617118,0.565397036727518,0.661652876762673,0.812395479297265,0.363276807358488,0.513607981381938,0.205468799686059,0.240890750894323,0.106955508003011,0.792772702174261,0.882871764712036
8.1,-0.7002,50.5504,6.6649e-07,?,31.3,12.36,8.16,203,1,1.024,0,0.136544,'350184',0.476152959978208,0.103366075316444,0.547305210260674,0.318418297218159,0.609218096360564,0.334714411757886,0.156853754306212,0.732651308644563,0.841977861709893,0.0409208456985652,0.88320917985402,0.901144474977627,0.0379460409749299,0.98646281287074,0.532735039712861,0.407812144374475
0.544,-1.0778,126.079,2.8371e-05,4.8e-05,131.7,50.28,23.3,3348,1,1.024,1,0.009013,'350311',0.353752811904997,0.0907165587414056,0.324236290995032,0.199449303327128,0.795884844614193,0.723527513677254,0.724190410925075,0.187002495862544,0.806829355889931,0.982916493201628,0.334748099092394,0.944379087304696,0.778617832344025,0.0385199065785855,0.0532791512086987,0.287373188184574
1.063,-1.284,?,3.8255e-06,5.425e-05,29.5,15.21,9.31,168,1,1.024,1,0.0332424,'378559',0.472264890559018,0.124969039112329,0.845111910952255,0.541621838929132,0.167651390656829,0.06236453470774,0.60179968434386,0.644654503790662,0.506925904657692,0.300408155657351,0.0746826473623514,0.221877884585410,0.633600132074207,0.4498729435727,0.154304747236893,0.834816528018564
0.92,-1.329,71.7872,1.427e-06,?,35.8,64.18,12.12,225,1,0.128,1,0.0759837,'284856',0.281368548749015,0.102796699153259,0.942542968783528,0.148311168421060,0.175939086126164,0.552351581398398,0.969762900378555,0.482532083289698,0.663431369466707,0.981693745590746,0.487381637794897,0.0394458691589534,0.408501784084365,0.575319872004911,0.94172660401091,0.674444015603513
